building_id,year,meter,total_meter_reading,site_id,sqm,primaryspaceusage,yearbuilt,region,country,Avg_AirTemp_Annual,Total_HDD_Annual,Total_CDD_Annual,Count_Heating_Days_Annual,Count_Cooling_Days_Annual,eui,log_eui,log_sqm,Cluster,efficiency_status,eui_zscore
Bear_assembly_Angel,2016,electricity,3020395.6793,Bear,22117.0,Entertainment/public assembly,1933.0,"Berkeley, California",United States of America,15.237956,388.2165,0.024999619,146,1,136.5644381832979,4.91679657783577,10.004101822568721,1,Average,0.3765517456328773
Bear_assembly_Angel,2017,electricity,4115350.2023,Bear,22117.0,Entertainment/public assembly,1933.0,"Berkeley, California",United States of America,14.965894,516.45306,8.72917,160,4,186.0718091196817,5.226132669743071,10.004101822568721,1,Average,0.5942304165273063
Bear_assembly_Beatrice,2016,electricity,386820.7295,Bear,2802.0,Entertainment/public assembly,1958.0,"Berkeley, California",United States of America,15.237956,388.2165,0.024999619,146,1,138.05165221270522,4.9276279065240685,7.938088726896952,2,Average,-0.06693380273930236
Bear_assembly_Beatrice,2017,electricity,365230.0555,Bear,2802.0,Entertainment/public assembly,1958.0,"Berkeley, California",United States of America,14.965894,516.45306,8.72917,160,4,130.34620110635262,4.870193996160059,7.938088726896952,2,Average,-0.08926749334013193
Bear_assembly_Danial,2016,electricity,561282.4361,Bear,7680.3,Entertainment/public assembly,2016.0,"Berkeley, California",United States of America,15.237956,388.2165,0.024999619,146,1,73.08079581526763,4.291565621095665,8.946413887878798,0,Average,-0.5600908114375241
Bear_assembly_Danial,2017,electricity,1396628.9285,Bear,7680.3,Entertainment/public assembly,2016.0,"Berkeley, California",United States of America,14.965894,516.45306,8.72917,160,4,181.8456217205057,5.203158094819297,8.946413887878798,0,Average,-0.05352385365082202
Bear_assembly_Diana,2016,electricity,5683.6763,Bear,121.2,Entertainment/public assembly,1995.0,"Berkeley, California",United States of America,15.237956,388.2165,0.024999619,146,1,46.89501897689769,3.8479114646286456,4.797442073635214,4,Average,-0.9509131087676717
Bear_assembly_Diana,2017,electricity,7407.7914,Bear,121.2,Entertainment/public assembly,1995.0,"Berkeley, California",United States of America,14.965894,516.45306,8.72917,160,4,61.12039108910891,4.112845543547036,4.797442073635214,4,Average,-0.8004907885849006
Bear_assembly_Genia,2016,electricity,2267334.973,Bear,24256.1,Entertainment/public assembly,1923.0,"Berkeley, California",United States of America,15.237956,388.2165,0.024999619,146,1,93.4748361443101,4.53769226792567,10.096423411124892,1,Average,0.10977743616655693
Bear_assembly_Genia,2017,electricity,2269609.5224,Bear,24256.1,Entertainment/public assembly,1923.0,"Berkeley, California",United States of America,14.965894,516.45306,8.72917,160,4,93.56860840778197,4.53869494697227,10.096423411124892,1,Average,0.11048301772625087
Bear_assembly_Harry,2016,electricity,52051.444,Bear,5511.6,Entertainment/public assembly,1932.0,"Berkeley, California",United States of America,15.237956,388.2165,0.024999619,146,1,9.443980695260905,2.2453775750937846,8.614610241119749,1,Top Performer,-1.5033159876585203
Bear_assembly_Harry,2017,electricity,150224.8412,Bear,5511.6,Entertainment/public assembly,1932.0,"Berkeley, California",United States of America,14.965894,516.45306,8.72917,160,4,27.256121852093763,3.3052781510007767,8.614610241119749,1,Average,-0.7574678481119275
Bear_assembly_Jose,2016,electricity,2271728.6505,Bear,3361.2,Entertainment/public assembly,1966.0,"Berkeley, California",United States of America,15.237956,388.2165,0.024999619,146,1,675.8683358621921,6.515998287638308,8.120053332054063,2,Average,0.5507182503160425
